rule_id,topology,OBS-NETWORK-ACTIVITY,OBS-SHANNON,OBS-NETWORK-ORDER,OBS-SWITCH-RATE,OBS-TRANSITION-RATE,OBS-METASTABLE-DWELL
NET-009,small_world,0.9994107744107744,0.0031050357823702024,0.9988776655443322,0.0011784511784511786,0.0106544901065449,0.3333333333333333
NET-009,erdos_renyi,0.9994107744107744,0.0031050357823702024,0.9987255734919288,0.0011784511784511786,0.0045662100456621,0.5
NET-010,ring,0.0,0.0,1.0,0.0,0.0,1.0
NET-010,small_world,0.0,0.0,1.0,0.0,0.0,1.0
NET-010,erdos_renyi,0.0,0.0,1.0,0.0,0.0,1.0
NET-011,ring,0.9994107744107744,0.0031050357823702024,0.9988215488215489,0.0011784511784511786,0.0030441400304414,0.6666666666666666
NET-011,small_world,0.9994107744107744,0.0031050357823702024,0.9988776655443322,0.0011784511784511786,0.0045662100456621,0.5
NET-011,erdos_renyi,0.9994107744107744,0.0031050357823702024,0.9987255734919288,0.0011784511784511786,0.0045662100456621,0.5
NET-012,ring,0.9994949494949495,0.0026614592420316024,0.998989898989899,0.0010101010101010099,0.0045662100456621,0.5
NET-012,small_world,0.9994949494949495,0.0026614592420316024,0.9990179573512906,0.0010101010101010099,0.0045662100456621,0.5
NET-012,erdos_renyi,0.9994949494949495,0.0026614592420316024,0.99886717643727,0.0010101010101010099,0.0045662100456621,0.5
NET-013,ring,0.9360269360269361,0.22844864981793475,0.8841750841750842,0.09124579124579124,0.0045662100456621,0.5
NET-013,small_world,0.9337542087542087,0.23526514642069363,0.8799382716049383,0.09309764309764308,0.0045662100456621,0.5
NET-013,erdos_renyi,0.9343434343434343,0.2334994447538354,0.8821580288870008,0.09259259259259257,0.0045662100456621,0.5
NET-014,ring,0.5917508417508417,0.6646051944426267,0.6084175084175084,0.23333333333333336,0.1308980213089802,0.035213675213675216
NET-014,small_world,0.5945286195286196,0.663395544178904,0.5844276094276094,0.2397306397306397,0.1400304414003044,0.031997514756135444
NET-014,erdos_renyi,0.5970538720538721,0.6484453967570832,0.5738600962900028,0.24284511784511786,0.1339421613394216,0.03453401504376017
NET-015,ring,0.0009259259259259259,0.004879341943724615,0.9981481481481481,0.0018518518518518521,0.0015220700152207,0.8333333333333334
NET-015,small_world,0.0009259259259259259,0.004879341943724615,0.998260381593715,0.0018518518518518521,0.0015220700152207,0.8333333333333334
NET-015,erdos_renyi,0.0009259259259259259,0.004879341943724615,0.9981591617105637,0.0018518518518518521,0.0015220700152207,0.8333333333333334
NET-016,ring,0.9984848484848485,0.007630746581179611,0.996969696969697,0.0015151515151515152,0.0045662100456621,0.5
NET-016,small_world,0.9984848484848485,0.007630746581179611,0.9971099887766554,0.0015151515151515152,0.0045662100456621,0.5
NET-016,erdos_renyi,0.9982323232323232,0.008798352155237265,0.9965165675446049,0.0016835016835016836,0.0045662100456621,0.5
NET-017,ring,0.9905723905723907,0.044997513836237235,0.9814814814814815,0.01523569023569023,0.0030441400304414,0.6666666666666666
NET-017,small_world,0.9904040404040405,0.045841859370174855,0.9813692480359149,0.01523569023569023,0.0045662100456621,0.5
NET-017,erdos_renyi,0.9897306397306398,0.04844501585452963,0.9802039082412914,0.01666666666666666,0.0045662100456621,0.5
NET-018,ring,0.9761784511784514,0.10464394969691578,0.9533670033670033,0.04528619528619527,0.0045662100456621,0.5
NET-018,small_world,0.9762626262626265,0.1037189995021635,0.9541245791245792,0.045286195286195284,0.0030441400304414,0.6666666666666666
NET-018,erdos_renyi,0.9760101010101012,0.10497658004621119,0.9540073633531577,0.04537037037037036,0.0030441400304414,0.6666666666666666
NET-019,ring,0.0027777777777777783,0.014284394686258639,0.9945005611672277,0.005555555555555554,0.0,1.0
NET-019,small_world,0.0027777777777777783,0.014284394686258639,0.9945005611672278,0.005555555555555554,0.0015220700152207,0.8333333333333334
NET-019,erdos_renyi,0.002861952861952862,0.014564847179639094,0.9947606910223733,0.005723905723905724,0.0,1.0
NET-020,ring,0.5367003367003367,0.6832799194599554,0.5935465768799103,0.10606060606060606,0.0639269406392694,0.10222222222222221
NET-020,small_world,0.5685185185185185,0.6755719813612636,0.5831369248035915,0.1069023569023569,0.060882800608828,0.07680311890838207
NET-020,erdos_renyi,0.5642255892255893,0.6687687637326478,0.5619937694704049,0.10631313131313132,0.060882800608828,0.07008547008547007
NET-021,ring,0.13552188552188552,0.38758481175030496,0.772334455667789,0.21666666666666667,0.0136986301369863,0.2611111111111111
NET-021,small_world,0.13636363636363638,0.3888218827377903,0.7686307519640853,0.21851851851851853,0.0106544901065449,0.3333333333333333
NET-021,erdos_renyi,0.132996632996633,0.38384343843055935,0.7739450580572077,0.21245791245791246,0.0167427701674277,0.2222222222222222
NET-022,ring,0.0,0.0,1.0,0.0,0.0015220700152207,0.8333333333333334
NET-022,small_world,0.0,0.0,1.0,0.0,0.0015220700152207,0.8333333333333334
NET-022,erdos_renyi,0.0,0.0,1.0,0.0,0.0015220700152207,0.8333333333333334
NET-023,ring,0.997053872053872,0.01441903847845234,0.994107744107744,0.0026936026936026937,0.0076103500761035,0.4166666666666667
NET-023,small_world,0.997053872053872,0.01441903847845234,0.9945566778900113,0.0026936026936026937,0.0045662100456621,0.5
NET-023,erdos_renyi,0.997053872053872,0.01441903847845234,0.9940243557065988,0.0026936026936026937,0.0045662100456621,0.5
NET-024,ring,0.011279461279461278,0.05501225521986434,0.9776655443322109,0.02104377104377104,0.0015220700152207,0.8333333333333334
NET-024,small_world,0.011363636363636362,0.05529270771324479,0.9770763187429855,0.021380471380471378,0.0015220700152207,0.8333333333333334
NET-024,erdos_renyi,0.011447811447811448,0.05536478916101401,0.978589634664401,0.02112794612794612,0.0030441400304414,0.6666666666666666
