binsPerDimension,condition,profile,item,mass,normalizedMass
3,neutral,edge_flux,1.1.1.1->1.1.0.1,0.018481448346474527,0.011085386761108833
3,neutral,edge_flux,1.1.1.1->1.1.1.0,0.009002832365584905,0.0054000031191805695
3,neutral,edge_flux,1.1.1.1->1.1.1.1,0.6749330854923677,0.4048326814158294
3,neutral,edge_flux,1.1.1.1->2.1.1.1,0.03571612054115143,0.021422942746831493
3,neutral,edge_flux,1.1.1.2->1.1.1.2,0.011405367005961295,0.006841071221433187
3,neutral,edge_flux,1.1.2.1->1.1.2.1,0.0,0.0
3,neutral,edge_flux,1.2.1.1->1.2.1.1,0.0,0.0
3,neutral,edge_flux,2.0.1.0->2.0.1.0,0.035142992217550344,0.0210791737406499
3,neutral,edge_flux,2.0.1.1->2.0.1.1,0.0,0.0
3,neutral,edge_flux,2.1.0.0->1.1.0.0,0.006302307974443087,0.003780197313250561
3,neutral,edge_flux,2.1.0.0->1.1.0.1,0.014125627730786487,0.00847271510888283
3,neutral,edge_flux,2.1.0.0->2.1.0.0,0.0,0.0
3,neutral,edge_flux,2.1.0.1->1.1.0.1,0.009954984208212848,0.005971114821735343
3,neutral,edge_flux,2.1.0.1->2.1.0.1,0.0,0.0
3,neutral,edge_flux,2.1.1.0->2.1.1.0,0.0,0.0
3,neutral,edge_flux,2.1.1.1->1.1.1.1,0.016085111742197636,0.00964803631269125
3,neutral,edge_flux,2.1.1.1->2.1.1.1,0.12706702019456423,0.0762162703393898
3,neutral,edge_flux,2.1.1.2->1.1.1.1,0.01972347058063654,0.01183036608163967
3,neutral,edge_flux,2.2.1.1->2.2.1.1,0.0,0.0
4,scarcity,cell_flux,0.0.1.1,0.0,0.0
4,scarcity,cell_flux,1.0.0.1,0.00045978748951977847,0.00047767878882076813
4,scarcity,cell_flux,1.0.1.1,0.013954993474824887,0.014498011653205987
4,scarcity,cell_flux,1.0.1.2,0.015377378832511276,0.015975745019996088
4,scarcity,cell_flux,1.0.2.1,0.035733807945971266,0.037124285650776134
4,scarcity,cell_flux,1.0.2.2,0.0341641856878833,0.03549358608578215
4,scarcity,cell_flux,1.1.0.1,0.010997993006770596,0.011425948070967399
4,scarcity,cell_flux,1.1.0.2,0.008515621196165009,0.008846981946570737
4,scarcity,cell_flux,1.1.1.0,0.0020692499180565834,0.0021497687891793398
4,scarcity,cell_flux,1.1.1.1,0.05833489687808119,0.060604830539886974
4,scarcity,cell_flux,1.1.1.2,0.019476182393701347,0.020234041657793803
4,scarcity,cell_flux,1.1.2.0,0.0,0.0
4,scarcity,cell_flux,1.1.2.1,0.007766517985816539,0.008068729553068818
4,scarcity,cell_flux,1.1.2.2,0.01123617904709931,0.011673402431626642
4,scarcity,cell_flux,1.2.1.0,0.0,0.0
4,scarcity,cell_flux,1.2.1.1,0.0024344715863736373,0.0025292020015857987
4,scarcity,cell_flux,1.2.1.2,0.0,0.0
4,scarcity,cell_flux,1.2.1.3,0.0,0.0
4,scarcity,cell_flux,1.2.2.1,0.0,0.0
4,scarcity,cell_flux,1.2.2.2,0.0008384408861720096,0.0008710663863924655
4,scarcity,cell_flux,2.0.1.1,0.01638289451443075,0.017020387434214974
4,scarcity,cell_flux,2.0.1.2,0.0,0.0
4,scarcity,cell_flux,2.0.2.1,0.0,0.0
4,scarcity,cell_flux,2.1.0.0,0.006260749953640687,0.0065043689163624295
4,scarcity,cell_flux,2.1.0.1,0.019092618727200368,0.019835552721434956
4,scarcity,cell_flux,2.1.0.2,0.02078839614445331,0.021597316408457048
4,scarcity,cell_flux,2.1.1.0,0.009041893010530627,0.009393732105300019
4,scarcity,cell_flux,2.1.1.1,0.3130132223936187,0.3251932259271219
4,scarcity,cell_flux,2.1.1.2,0.16351637441386532,0.16987914082646757
4,scarcity,cell_flux,2.1.1.3,0.0,0.0
4,scarcity,cell_flux,2.1.2.0,0.0,0.0
4,scarcity,cell_flux,2.1.2.1,0.11788667048669127,0.1224738890460249
4,scarcity,cell_flux,2.1.2.2,0.009972320614526822,0.010360364606385486
4,scarcity,cell_flux,2.2.0.2,0.006672702586422084,0.006932351493452708
4,scarcity,cell_flux,2.2.1.0,0.0,0.0
4,scarcity,cell_flux,2.2.1.1,0.014703470923397126,0.01527561393522342
4,scarcity,cell_flux,2.2.1.2,0.0021589027082305734,0.0022429101581831865
4,scarcity,cell_flux,2.2.2.1,0.02624414361472483,0.02726535849988756
4,scarcity,cell_flux,2.2.2.2,0.00901189626978469,0.00936256812821344
4,scarcity,cell_flux,3.1.1.1,0.0,0.0
4,scarcity,cell_flux,3.2.2.1,0.006439371706406827,0.006689941217617274
4,scarcity,turnover,0.0.1.1,0.029562475364603862,0.0006159923981469358
4,scarcity,turnover,1.0.0.1,0.24852114758947058,0.0051784275777245255
4,scarcity,turnover,1.0.1.1,1.1554301574269548,0.024075662974315976
4,scarcity,turnover,1.0.1.2,0.44287600064180255,0.009228193727096014
4,scarcity,turnover,1.0.2.1,0.8670651249015069,0.01806700958056963
4,scarcity,turnover,1.0.2.2,0.8169669507059377,0.017023115451782925
4,scarcity,turnover,1.1.0.1,0.6800567606766283,0.014170321994984483
4,scarcity,turnover,1.1.0.2,0.5812985035303732,0.012112499200849575
4,scarcity,turnover,1.1.1.0,0.17454966195777444,0.0036370859861703337
4,scarcity,turnover,1.1.1.1,4.408075289828328,0.09185093046182354
4,scarcity,turnover,1.1.1.2,1.9004916105475358,0.039600485764497685
4,scarcity,turnover,1.1.2.0,0.08243580507731452,0.001717712357861233
4,scarcity,turnover,1.1.2.1,1.0996268023749982,0.022912890165911127
4,scarcity,turnover,1.1.2.2,0.9738593816615863,0.020292278253731106
4,scarcity,turnover,1.2.1.0,0.06640211640211639,0.0013836188756218438
4,scarcity,turnover,1.2.1.1,0.5471159111030653,0.011400237564282161
4,scarcity,turnover,1.2.1.2,0.10901117310835523,0.002271462491541811
4,scarcity,turnover,1.2.1.3,0.018518518518518517,0.00038586980595031506
4,scarcity,turnover,1.2.2.1,0.1260405172169878,0.0026263024157014074
4,scarcity,turnover,1.2.2.2,0.12295092491635728,0.0025619246750998733
4,scarcity,turnover,2.0.1.1,0.41374107649501596,0.00862111020064354
4,scarcity,turnover,2.0.1.2,0.19117647058823528,0.003983538290840017
4,scarcity,turnover,2.0.2.1,0.12626262626262627,0.002630930495115785
4,scarcity,turnover,2.1.0.0,0.22241055090946907,0.004634361870519933
4,scarcity,turnover,2.1.0.1,1.3439090640694125,0.02800299220743602
4,scarcity,turnover,2.1.0.2,1.058469926665012,0.02205530560114951
4,scarcity,turnover,2.1.1.0,0.8963469473481537,0.018677154022419023
4,scarcity,turnover,2.1.1.1,12.680460972400914,0.26422237879816773
4,scarcity,turnover,2.1.1.2,6.2496672930051504,0.13022412690272012
4,scarcity,turnover,2.1.1.3,0.07876535229476406,0.0016412312451017958
4,scarcity,turnover,2.1.2.0,0.016937669376693776,0.00035292970056431276
4,scarcity,turnover,2.1.2.1,4.659911024604709,0.09709842399173745
4,scarcity,turnover,2.1.2.2,1.340627397891153,0.02793461222930049
4,scarcity,turnover,2.2.0.2,0.18359735863046778,0.0038256125659773665
4,scarcity,turnover,2.2.1.0,0.3163841807909604,0.0065924875321680945
4,scarcity,turnover,2.2.1.1,1.2142394380424641,0.025301070162071924
4,scarcity,turnover,2.2.1.2,0.3894594277408412,0.008115154225625474
4,scarcity,turnover,2.2.2.1,1.0920027035197337,0.02275402705043647
4,scarcity,turnover,2.2.2.2,0.52985163682908,0.011040502407427471
4,scarcity,turnover,3.1.1.1,0.11693989071038251,0.002436672938558383
4,scarcity,turnover,3.2.2.1,0.41960784313725497,0.008743355838356552
4,scarcity,edge_flux,0.0.1.1->0.0.1.1,0.0,0.0
4,scarcity,edge_flux,1.0.0.1->1.0.0.1,0.00045978748951977847,0.00047767878882076813
4,scarcity,edge_flux,1.0.1.1->1.0.0.1,0.0012009764218682475,0.0012477089431021731
4,scarcity,edge_flux,1.0.1.1->1.0.1.1,0.009338692331019652,0.009702080512261025
4,scarcity,edge_flux,1.0.1.1->2.0.1.1,0.0022006229463404038,0.002286253818599942
4,scarcity,edge_flux,1.0.1.2->1.0.1.2,0.01148130200103126,0.011928063635803112
4,scarcity,edge_flux,1.0.1.2->2.0.1.2,0.0038960768314800142,0.0040476813841929735
4,scarcity,edge_flux,1.0.2.1->1.0.2.1,0.035733807945971266,0.037124285650776134
4,scarcity,edge_flux,1.0.2.2->1.0.2.2,0.02713655324535094,0.02819249366821217
4,scarcity,edge_flux,1.0.2.2->1.1.2.2,0.0070276324425323595,0.007301092417569986
4,scarcity,edge_flux,1.1.0.1->1.1.0.1,0.010997993006770596,0.011425948070967399
4,scarcity,edge_flux,1.1.0.2->1.1.0.2,0.008515621196165009,0.008846981946570737
4,scarcity,edge_flux,1.1.1.0->1.0.1.1,0.0034153247219369867,0.0035482221978427888
4,scarcity,edge_flux,1.1.1.0->1.1.1.0,0.0,0.0
4,scarcity,edge_flux,1.1.1.0->1.1.2.1,0.0020692499180565834,0.0021497687891793398
4,scarcity,edge_flux,1.1.1.1->1.0.1.1,0.004953595029318204,0.005146349841716409
4,scarcity,edge_flux,1.1.1.1->1.1.0.1,0.0028619047619296237,0.00297326750196435
4,scarcity,edge_flux,1.1.1.1->1.1.1.1,0.03574646678289129,0.037137437069693933
4,scarcity,edge_flux,1.1.1.1->1.1.2.1,0.0016906280193749973,0.0017564139152306442
4,scarcity,edge_flux,1.1.1.1->2.1.1.1,0.009168766626335279,0.009525542640628363
4,scarcity,edge_flux,1.1.1.2->1.1.1.2,0.019476182393701347,0.020234041657793803
4,scarcity,edge_flux,1.1.1.2->2.1.1.2,0.0022782755213799407,0.0023669280188319693
4,scarcity,edge_flux,1.1.2.0->1.1.2.0,0.0,0.0
4,scarcity,edge_flux,1.1.2.1->1.1.1.1,0.001416684636238406,0.0014718108182676904
4,scarcity,edge_flux,1.1.2.1->1.1.2.1,0.006349833349578134,0.006596918734801129
4,scarcity,edge_flux,1.1.2.1->2.1.2.1,0.0020116888576874998,0.00208996790675633
4,scarcity,edge_flux,1.1.2.2->1.1.2.2,0.009868591636712713,0.010252599315642994
4,scarcity,edge_flux,1.1.2.2->2.1.2.2,0.0013675874103865947,0.0014208031159836463
