condition,seed,step,population,lineageCount,dominantFounderId,dominantFraction,lineageHHI
neutral_bottleneck_mutable,14011,200,8,5,8,0.25,0.21875
neutral_bottleneck_mutable,14011,205,8,5,8,0.25,0.21875
neutral_bottleneck_mutable,14011,210,8,5,8,0.25,0.21875
neutral_bottleneck_mutable,14011,215,9,5,8,0.3333333333333333,0.2345679012345679
neutral_bottleneck_mutable,14011,220,9,5,8,0.3333333333333333,0.2345679012345679
neutral_bottleneck_mutable,14011,225,11,5,8,0.2727272727272727,0.23966942148760328
neutral_bottleneck_mutable,14011,230,11,5,8,0.2727272727272727,0.23966942148760328
neutral_bottleneck_mutable,14011,235,13,5,34,0.3076923076923077,0.2307692307692308
neutral_bottleneck_mutable,14011,240,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,245,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,250,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,255,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,260,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,265,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,270,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,275,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,280,11,5,8,0.36363636363636365,0.256198347107438
neutral_bottleneck_mutable,14011,285,12,5,8,0.3333333333333333,0.2361111111111111
neutral_bottleneck_mutable,14011,290,12,5,8,0.3333333333333333,0.2361111111111111
neutral_bottleneck_mutable,14011,295,13,5,8,0.3076923076923077,0.2307692307692308
neutral_bottleneck_mutable,14011,300,13,5,8,0.3076923076923077,0.2307692307692308
neutral_bottleneck_mutable,14011,305,14,5,8,0.2857142857142857,0.21428571428571427
neutral_bottleneck_mutable,14011,310,14,5,8,0.2857142857142857,0.21428571428571427
neutral_bottleneck_mutable,14011,315,15,5,8,0.3333333333333333,0.22666666666666668
neutral_bottleneck_mutable,14011,320,16,5,8,0.3125,0.2265625
neutral_bottleneck_mutable,14011,325,16,5,8,0.3125,0.2265625
neutral_bottleneck_mutable,14011,330,16,5,8,0.3125,0.2265625
neutral_bottleneck_mutable,14011,335,16,5,8,0.3125,0.2265625
neutral_bottleneck_mutable,14011,339,16,5,8,0.3125,0.2265625
scarcity_mutable,14029,179,61,20,3,0.11475409836065574,0.07605482397205052
scarcity_mutable,14029,180,61,20,3,0.11475409836065574,0.07605482397205052
scarcity_mutable,14029,185,61,20,3,0.11475409836065574,0.07605482397205052
scarcity_mutable,14029,190,58,19,3,0.10344827586206896,0.0760998810939358
scarcity_mutable,14029,195,57,19,3,0.10526315789473684,0.07602339181286549
scarcity_mutable,14029,200,54,18,3,0.1111111111111111,0.0775034293552812
scarcity_mutable,14029,205,52,17,3,0.11538461538461539,0.07988165680473373
scarcity_mutable,14029,210,49,17,3,0.12244897959183673,0.08204914618908787
scarcity_mutable,14029,215,45,16,3,0.13333333333333333,0.0874074074074074
scarcity_mutable,14029,220,45,16,3,0.13333333333333333,0.0874074074074074
scarcity_mutable,14029,225,43,16,57,0.13953488372093023,0.08599242833964305
scarcity_mutable,14029,230,42,16,57,0.14285714285714285,0.08503401360544216
scarcity_mutable,14029,235,37,15,57,0.16216216216216217,0.08838568298027759
scarcity_mutable,14029,240,36,15,57,0.16666666666666666,0.08950617283950617
scarcity_mutable,14029,245,32,13,57,0.1875,0.103515625
scarcity_mutable,14029,250,31,13,57,0.1935483870967742,0.10301768990634755
scarcity_mutable,14029,255,27,13,57,0.2222222222222222,0.1111111111111111
scarcity_mutable,14029,260,26,13,57,0.23076923076923078,0.1153846153846154
scarcity_mutable,14029,265,24,13,57,0.16666666666666666,0.10069444444444445
scarcity_mutable,14029,270,22,13,57,0.18181818181818182,0.09917355371900827
scarcity_mutable,14029,275,20,12,57,0.2,0.11000000000000001
scarcity_mutable,14029,280,17,11,57,0.23529411764705882,0.12802768166089967
scarcity_mutable,14029,285,15,10,57,0.26666666666666666,0.13777777777777778
scarcity_mutable,14029,290,14,9,57,0.2857142857142857,0.1530612244897959
scarcity_mutable,14029,295,12,9,57,0.25,0.1388888888888889
scarcity_mutable,14029,300,11,8,57,0.2727272727272727,0.15702479338842973
scarcity_mutable,14029,305,11,8,57,0.2727272727272727,0.15702479338842973
scarcity_mutable,14029,310,10,7,57,0.3,0.18000000000000002
scarcity_mutable,14029,315,6,4,57,0.5,0.3333333333333333
scarcity_mutable,14029,320,6,4,57,0.5,0.3333333333333333
scarcity_mutable,14029,325,6,4,57,0.5,0.3333333333333333
scarcity_mutable,14029,330,6,4,57,0.5,0.3333333333333333
scarcity_mutable,14029,335,6,4,57,0.5,0.3333333333333333
scarcity_mutable,14029,339,4,3,57,0.5,0.375
neutral_bottleneck_mutable,14029,179,61,20,3,0.11475409836065574,0.07605482397205052
neutral_bottleneck_mutable,14029,180,4,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,185,4,4,29,0.25,0.25
neutral_bottleneck_mutable,14029,190,5,4,29,0.4,0.28
neutral_bottleneck_mutable,14029,195,7,4,29,0.2857142857142857,0.26530612244897955
neutral_bottleneck_mutable,14029,200,7,4,29,0.2857142857142857,0.26530612244897955
neutral_bottleneck_mutable,14029,205,7,4,29,0.2857142857142857,0.26530612244897955
neutral_bottleneck_mutable,14029,210,7,4,29,0.2857142857142857,0.26530612244897955
neutral_bottleneck_mutable,14029,215,8,4,39,0.375,0.28125
neutral_bottleneck_mutable,14029,220,10,4,29,0.3,0.26
neutral_bottleneck_mutable,14029,225,11,4,29,0.2727272727272727,0.256198347107438
neutral_bottleneck_mutable,14029,230,11,4,29,0.2727272727272727,0.256198347107438
neutral_bottleneck_mutable,14029,235,11,4,29,0.2727272727272727,0.256198347107438
neutral_bottleneck_mutable,14029,240,12,4,29,0.25,0.25
