stepStart,stepEnd,totalVector,withinVector,reweightingVector,totalNorm,withinNorm,reweightingNorm,decompositionError,lineageTurnoverTV,lineageCountStart,lineageCountEnd,condition,seed
285,290,"[0.007240623616878938,-0.00929079847147718,-0.004742109244457282,0.0099567692255636]","[0.00488033304575289,-0.001961700185630968,-0.004335673755698028,0.004937602149629387]","[0.002360290571126052,-0.007329098285846165,-0.000406435488759255,0.005019167075934177]",0.016135997648004455,0.008416881854917868,0.009200210932712595,5.841666817108909e-17,0.07575757575757575,9,9,scarcity_mutable,14003
290,295,"[0.005733831131244482,-0.002857705665044452,0.00032981924145975006,-0.006560112151786701]","[0.0023925771588820892,-0.007739298872093359,-0.0035967609043297804,9.920402396702252e-05]","[0.003341253972362416,0.004881593207048882,0.003926580145789606,-0.006659316175753724]",0.00917535575799174,0.008863842447498504,0.009734395405822478,8.242218725726807e-17,0.07272727272727272,9,9,scarcity_mutable,14003
295,300,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,9,9,scarcity_mutable,14003
300,305,"[0.0022159559467276324,0.000782801475694539,0.00016623772811069637,-0.004911772570343087]","[0.0,0.0,0.0,0.0]","[0.0022159559467275908,0.0007828014756945112,0.00016623772811063392,-0.0049117725703431425]",0.005447603479807359,0.0,0.005447603479807386,9.739201700399851e-17,0.09999999999999995,9,8,scarcity_mutable,14003
305,310,"[0.018974629172951563,0.014552131469737106,0.027120345289528003,-0.009131801053599842]","[-0.0002165612072657641,-0.0025547781971311987,0.0017641427350603962,-0.0012872563503407099]","[0.019191190380217195,0.0171069096668683,0.02535620255446757,-0.007844544703259047]",0.03729214396718548,0.003367939859051554,0.036951617503767686,1.60740641749901e-16,0.19047619047619047,8,7,scarcity_mutable,14003
310,315,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,7,7,scarcity_mutable,14003
315,320,"[-0.012101772879343997,-0.028140214328088553,0.022168512946668717,0.01226451927554012]","[0.0,0.0,0.0,0.0]","[-0.012101772879343903,-0.02814021432808852,0.022168512946668748,0.012264519275540078]",0.03975155303356964,0.0,0.039751553033569594,1.1263686567305979e-16,0.28571428571428575,7,5,scarcity_mutable,14003
320,325,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,5,5,scarcity_mutable,14003
325,330,"[0.0038552535517685227,-0.05152520512302433,0.02634676940018338,-0.020157682530476673]","[0.0,0.0,0.0,0.0]","[0.0038552535517684394,-0.05152520512302436,0.02634676940018335,-0.020157682530476728]",0.061401906857556796,0.0,0.06140190685755682,1.0749688212373146e-16,0.3999999999999999,5,3,scarcity_mutable,14003
330,335,"[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]","[0.0,0.0,0.0,0.0]",0.0,0.0,0.0,0.0,0.0,3,3,scarcity_mutable,14003
