seed,dimension,sign,center_unit,mutant_unit,actual_step_unit,initial_mutant_fraction,final_mutant_fraction,frequency_change,extinct,final_population
14011,reproduction_threshold,1,0.4478831851056755,0.5078831851056755,0.06000000000000005,0.09259259259259259,0.0,-0.09259259259259259,False,5
14029,forage_weight,-1,0.5306919169457908,0.47069191694579077,0.06,0.09836065573770492,0.0,-0.09836065573770492,False,4
14029,forage_weight,1,0.5306919169457908,0.5906919169457907,0.05999999999999994,0.09836065573770492,0.2,0.1016393442622951,False,5
14029,hazard_avoidance,-1,0.39974442119091924,0.33974442119091924,0.06,0.09836065573770492,0.2,0.1016393442622951,False,5
14029,hazard_avoidance,1,0.39974442119091924,0.45974442119091924,0.06,0.09836065573770492,0.0,-0.09836065573770492,False,5
14029,exploration,-1,0.3991992480265826,0.3391992480265826,0.06,0.09836065573770492,0.25,0.15163934426229508,False,4
14029,exploration,1,0.3991992480265826,0.4591992480265826,0.06,0.09836065573770492,0.0,-0.09836065573770492,False,5
14029,reproduction_threshold,-1,0.4626244727128972,0.4026244727128972,0.06,0.09836065573770492,0.0,-0.09836065573770492,False,5
14029,reproduction_threshold,1,0.4626244727128972,0.5226244727128972,0.06000000000000005,0.09836065573770492,0.0,-0.09836065573770492,False,5
14041,forage_weight,-1,0.549983108016699,0.48998310801669903,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,6
14041,forage_weight,1,0.549983108016699,0.6099831080166991,0.06000000000000005,0.10344827586206896,0.0,-0.10344827586206896,False,6
14041,hazard_avoidance,-1,0.38267537438976096,0.32267537438976096,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,4
14041,hazard_avoidance,1,0.38267537438976096,0.44267537438976096,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,4
14041,exploration,-1,0.39615046355642664,0.33615046355642664,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,5
14041,exploration,1,0.39615046355642664,0.45615046355642663,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,4
14041,reproduction_threshold,-1,0.4640325279837125,0.4040325279837125,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,4
14041,reproduction_threshold,1,0.4640325279837125,0.5240325279837125,0.06,0.10344827586206896,0.0,-0.10344827586206896,False,4
14057,forage_weight,-1,0.5144564078287217,0.4544564078287217,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,5
14057,forage_weight,1,0.5144564078287217,0.5744564078287218,0.06000000000000005,0.09259259259259259,0.3333333333333333,0.24074074074074073,False,3
14057,hazard_avoidance,-1,0.4082752448003679,0.3482752448003679,0.06,0.09259259259259259,0.25,0.1574074074074074,False,4
14057,hazard_avoidance,1,0.4082752448003679,0.4682752448003679,0.06,0.09259259259259259,0.16666666666666666,0.07407407407407407,False,6
14057,exploration,-1,0.44461513604544256,0.38461513604544256,0.06,0.09259259259259259,0.25,0.1574074074074074,False,4
14057,exploration,1,0.44461513604544256,0.5046151360454425,0.05999999999999994,0.09259259259259259,0.0,-0.09259259259259259,False,5
14057,reproduction_threshold,-1,0.43257497991692906,0.37257497991692906,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,4
14057,reproduction_threshold,1,0.43257497991692906,0.49257497991692906,0.06,0.09259259259259259,0.0,-0.09259259259259259,False,4
14071,forage_weight,-1,0.5619636800563715,0.5019636800563716,0.05999999999999994,0.09803921568627451,0.0,-0.09803921568627451,False,4
14071,forage_weight,1,0.5619636800563715,0.6219636800563715,0.05999999999999994,0.09803921568627451,0.0,-0.09803921568627451,False,4
14071,hazard_avoidance,-1,0.4338419838405451,0.3738419838405451,0.06,0.09803921568627451,0.0,-0.09803921568627451,False,2
14071,hazard_avoidance,1,0.4338419838405451,0.4938419838405451,0.06,0.09803921568627451,0.0,-0.09803921568627451,False,3
14071,exploration,-1,0.3794893929383297,0.3194893929383297,0.06,0.09803921568627451,0.0,-0.09803921568627451,False,3
14071,exploration,1,0.3794893929383297,0.43948939293832967,0.06,0.09803921568627451,0.0,-0.09803921568627451,False,4
14071,reproduction_threshold,-1,0.4438658316880996,0.3838658316880996,0.06,0.09803921568627451,0.3333333333333333,0.23529411764705882,False,3
14071,reproduction_threshold,1,0.4438658316880996,0.5038658316880996,0.06,0.09803921568627451,0.0,-0.09803921568627451,False,4
14087,forage_weight,-1,0.49489052892300806,0.43489052892300806,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,4
14087,forage_weight,1,0.49489052892300806,0.554890528923008,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,5
14087,hazard_avoidance,-1,0.39336613901749823,0.33336613901749823,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,4
14087,hazard_avoidance,1,0.39336613901749823,0.4533661390174982,0.06,0.1016949152542373,0.0,-0.1016949152542373,False,3
