cadenceSteps,condition,seed,founderId,stepStart,stepEnd,deltaP,midpointCell,fluxMagnitude,sourceCell,targetCell
5,scarcity_mutable,14003,23,195,200,0.002400960384153661,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,24,195,200,-0.0196078431372549,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,25,195,200,0.002400960384153661,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,195,200,0.004801920768307322,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,195,200,0.004001600640256106,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,195,200,0.0008003201280512191,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,195,200,0.0016006402561024383,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,195,200,0.0008003201280512191,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,195,200,0.0016006402561024383,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,195,200,0.002400960384153661,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,49,195,200,-0.0196078431372549,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,51,195,200,0.0008003201280512191,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,195,200,0.0008003201280512191,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,195,200,0.002400960384153661,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,58,195,200,0.0016006402561024383,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,195,200,0.0016006402561024383,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,68,195,200,0.0008003201280512191,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,195,200,0.0008003201280512191,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,200,205,0.0008503401360544227,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,200,205,0.00042517006802721136,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,200,205,0.0008503401360544227,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,200,205,0.0008503401360544227,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,200,205,0.001275510204081634,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,200,205,0.00042517006802721136,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,200,205,0.00042517006802721136,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,200,205,0.001275510204081634,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,24,200,205,0.0,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,25,200,205,0.001275510204081634,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,200,205,-0.01828231292517006,2.1.1.1,0.0006416612276647654,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,200,205,0.0021258503401360568,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,200,205,0.00042517006802721136,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,200,205,0.0008503401360544227,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,200,205,0.00042517006802721136,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,200,205,0.0008503401360544227,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,200,205,0.001275510204081634,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,49,200,205,0.0,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,51,200,205,0.00042517006802721136,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,200,205,0.00042517006802721136,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,200,205,0.001275510204081634,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,58,200,205,0.0008503401360544227,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,200,205,0.0008503401360544227,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,68,200,205,0.00042517006802721136,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,200,205,0.00042517006802721136,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,205,210,-0.018410852713178293,2.1.1.1,0.0010598843447930772,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,205,210,0.0024224806201550396,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,205,210,-0.018410852713178293,2.2.1.1,0.0011067482313106547,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,205,210,-0.018410852713178293,1.1.1.2,0.0018147360521654588,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,205,210,-0.015988372093023256,2.1.1.1,0.0010445898042959758,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,205,210,0.0024224806201550396,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,205,210,0.0024224806201550396,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,205,210,0.007267441860465115,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,25,205,210,0.007267441860465115,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,205,210,0.012112403100775188,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,205,210,0.012112403100775188,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,205,210,0.0024224806201550396,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,205,210,0.004844961240310079,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,205,210,0.0024224806201550396,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,205,210,0.004844961240310079,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,205,210,0.007267441860465115,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,51,205,210,0.0024224806201550396,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,205,210,0.0024224806201550396,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,205,210,0.007267441860465115,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,58,205,210,0.004844961240310079,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,205,210,0.004844961240310079,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,68,205,210,-0.020833333333333332,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,205,210,0.0024224806201550396,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,210,215,0.0011344299489506535,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,210,215,0.0011344299489506535,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,210,215,0.0011344299489506535,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,210,215,0.0011344299489506535,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,210,215,0.002268859897901307,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,210,215,0.0011344299489506535,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,210,215,0.0011344299489506535,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,210,215,0.0034032898468519535,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,25,210,215,0.0034032898468519535,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,210,215,0.00567214974475326,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,210,215,0.00567214974475326,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,210,215,0.0011344299489506535,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,210,215,0.002268859897901307,1.1.1.0,0.0,1.1.1.0,1.1.1.0
