from_rule,to_rule,syntactic_distance,observable_distance,observer_id
28,156,0.125,0.0018341421807965789,OBSERVER-EBID-CORE
29,31,0.125,0.22683361963381451,OBSERVER-EBID-CORE
29,61,0.125,0.10359813049219313,OBSERVER-EBID-CORE
29,93,0.125,0.10708370047914219,OBSERVER-EBID-CORE
29,157,0.125,0.10509180603728416,OBSERVER-EBID-CORE
30,31,0.125,0.2718137098067394,OBSERVER-EBID-CORE
30,62,0.125,0.1923670871366932,OBSERVER-EBID-CORE
30,94,0.125,0.25106111473552584,OBSERVER-EBID-CORE
30,158,0.125,0.2236314274645997,OBSERVER-EBID-CORE
31,63,0.125,0.07444570785057693,OBSERVER-EBID-CORE
31,95,0.125,0.14339531324691326,OBSERVER-EBID-CORE
31,159,0.125,0.11783938244796643,OBSERVER-EBID-CORE
32,33,0.125,0.4212754131146713,OBSERVER-EBID-CORE
32,34,0.125,0.43358309563592273,OBSERVER-EBID-CORE
32,36,0.125,0.16341301948422302,OBSERVER-EBID-CORE
32,40,0.125,0.007027990242842234,OBSERVER-EBID-CORE
32,48,0.125,0.43322041121713795,OBSERVER-EBID-CORE
32,96,0.125,0.0070305734711287515,OBSERVER-EBID-CORE
32,160,0.125,0.0053070566763304804,OBSERVER-EBID-CORE
33,35,0.125,0.1358935918923725,OBSERVER-EBID-CORE
33,37,0.125,0.01915777119860323,OBSERVER-EBID-CORE
33,41,0.125,0.1912073523872213,OBSERVER-EBID-CORE
33,49,0.125,0.1349662103855928,OBSERVER-EBID-CORE
33,97,0.125,0.21613759401402666,OBSERVER-EBID-CORE
33,161,0.125,0.1622043674036595,OBSERVER-EBID-CORE
34,35,0.125,0.05644356259143664,OBSERVER-EBID-CORE
34,38,0.125,0.05974481789033698,OBSERVER-EBID-CORE
34,42,0.125,0.06238952824390374,OBSERVER-EBID-CORE
34,50,0.125,0.15866562373105433,OBSERVER-EBID-CORE
34,98,0.125,0.13058916039430307,OBSERVER-EBID-CORE
34,162,0.125,0.07958707330629541,OBSERVER-EBID-CORE
35,39,0.125,0.05914738151414565,OBSERVER-EBID-CORE
35,43,0.125,0.027984521701610077,OBSERVER-EBID-CORE
35,51,0.125,0.023546997759481512,OBSERVER-EBID-CORE
35,99,0.125,0.2039686735707342,OBSERVER-EBID-CORE
35,163,0.125,0.09990294482163847,OBSERVER-EBID-CORE
36,37,0.125,0.2747385343827385,OBSERVER-EBID-CORE
36,38,0.125,0.26323919607402074,OBSERVER-EBID-CORE
36,44,0.125,0.17095435997379854,OBSERVER-EBID-CORE
36,52,0.125,0.2592404896514379,OBSERVER-EBID-CORE
36,100,0.125,0.1682626564417825,OBSERVER-EBID-CORE
36,164,0.125,0.03799605086435321,OBSERVER-EBID-CORE
37,39,0.125,0.07052269050184627,OBSERVER-EBID-CORE
37,45,0.125,0.23929964370565146,OBSERVER-EBID-CORE
37,53,0.125,0.06793900489675714,OBSERVER-EBID-CORE
37,101,0.125,0.2340736359638307,OBSERVER-EBID-CORE
37,165,0.125,0.13424761241051777,OBSERVER-EBID-CORE
38,39,0.125,0.05419971357513671,OBSERVER-EBID-CORE
38,46,0.125,0.04233880969956926,OBSERVER-EBID-CORE
38,54,0.125,0.16009242113025757,OBSERVER-EBID-CORE
38,102,0.125,0.10632184588306244,OBSERVER-EBID-CORE
38,166,0.125,0.07849763665663953,OBSERVER-EBID-CORE
39,47,0.125,0.002421357048291639,OBSERVER-EBID-CORE
39,55,0.125,0.08782154147751758,OBSERVER-EBID-CORE
39,103,0.125,0.0578291802104737,OBSERVER-EBID-CORE
39,167,0.125,0.093871286844382,OBSERVER-EBID-CORE
40,41,0.125,0.49072170846213814,OBSERVER-EBID-CORE
40,42,0.125,0.48762734632714383,OBSERVER-EBID-CORE
40,44,0.125,0.33178148624447723,OBSERVER-EBID-CORE
40,56,0.125,0.5499614753031646,OBSERVER-EBID-CORE
40,104,0.125,0.17112878630033984,OBSERVER-EBID-CORE
40,168,0.125,0.019258879641134326,OBSERVER-EBID-CORE
41,43,0.125,0.17121358717111046,OBSERVER-EBID-CORE
41,45,0.125,0.06965907525070475,OBSERVER-EBID-CORE
41,57,0.125,0.30480935319348124,OBSERVER-EBID-CORE
41,105,0.125,0.08148002278449469,OBSERVER-EBID-CORE
41,169,0.125,0.058969092513649755,OBSERVER-EBID-CORE
42,43,0.125,0.024705005693686572,OBSERVER-EBID-CORE
42,46,0.125,0.056401311184695734,OBSERVER-EBID-CORE
42,58,0.125,0.10532727857636377,OBSERVER-EBID-CORE
42,106,0.125,0.15538435999040767,OBSERVER-EBID-CORE
42,170,0.125,0.01781424459345142,OBSERVER-EBID-CORE
43,47,0.125,0.05892297784220121,OBSERVER-EBID-CORE
43,59,0.125,0.02890082502422011,OBSERVER-EBID-CORE
43,107,0.125,0.15193666118463117,OBSERVER-EBID-CORE
43,171,0.125,0.025236249504146654,OBSERVER-EBID-CORE
44,45,0.125,0.2760970717208934,OBSERVER-EBID-CORE
44,46,0.125,0.13755366534443453,OBSERVER-EBID-CORE
44,60,0.125,0.18332321319404474,OBSERVER-EBID-CORE
44,108,0.125,0.1219532514567815,OBSERVER-EBID-CORE
44,172,0.125,0.07391382513126571,OBSERVER-EBID-CORE
45,47,0.125,0.2239880346115156,OBSERVER-EBID-CORE
45,61,0.125,0.2111749233220041,OBSERVER-EBID-CORE
45,109,0.125,0.20968172394466517,OBSERVER-EBID-CORE
45,173,0.125,0.22420036122118586,OBSERVER-EBID-CORE
46,47,0.125,0.014433473610558002,OBSERVER-EBID-CORE
46,62,0.125,0.09283833594534581,OBSERVER-EBID-CORE
46,110,0.125,0.10234857605139083,OBSERVER-EBID-CORE
46,174,0.125,0.009028629522938031,OBSERVER-EBID-CORE
47,63,0.125,0.07832486378632808,OBSERVER-EBID-CORE
47,111,0.125,0.015405466149794649,OBSERVER-EBID-CORE
47,175,0.125,0.07759496501823894,OBSERVER-EBID-CORE
48,49,0.125,0.057064578806788044,OBSERVER-EBID-CORE
48,50,0.125,0.159241632122742,OBSERVER-EBID-CORE
48,52,0.125,0.06122250706625735,OBSERVER-EBID-CORE
48,56,0.125,0.13065556542950663,OBSERVER-EBID-CORE
48,112,0.125,0.06240078092646,OBSERVER-EBID-CORE
48,176,0.125,0.07965164488424697,OBSERVER-EBID-CORE
49,51,0.125,0.024519323430552284,OBSERVER-EBID-CORE
49,53,0.125,0.06128823944413188,OBSERVER-EBID-CORE
49,57,0.125,0.20481373318001025,OBSERVER-EBID-CORE
49,113,0.125,0.02776546018221824,OBSERVER-EBID-CORE
49,177,0.125,0.10090259761859781,OBSERVER-EBID-CORE
50,51,0.125,0.13844662508546893,OBSERVER-EBID-CORE
50,54,0.125,0.22593113862194072,OBSERVER-EBID-CORE
50,58,0.125,0.04196126052308079,OBSERVER-EBID-CORE
50,114,0.125,0.042765025707352085,OBSERVER-EBID-CORE
50,178,0.125,0.005247484888231698,OBSERVER-EBID-CORE
51,55,0.125,0.1428144296605723,OBSERVER-EBID-CORE
51,59,0.125,0.02428777022608819,OBSERVER-EBID-CORE
51,115,0.125,0.025020118123740775,OBSERVER-EBID-CORE
51,179,0.125,0.13843304792240035,OBSERVER-EBID-CORE
52,53,0.125,0.05597845641782607,OBSERVER-EBID-CORE
52,54,0.125,0.16243184925458845,OBSERVER-EBID-CORE
52,60,0.125,0.11010438535911021,OBSERVER-EBID-CORE
52,116,0.125,0.042709884115069555,OBSERVER-EBID-CORE
52,180,0.125,0.08184515354827333,OBSERVER-EBID-CORE
53,55,0.125,0.08473534875991752,OBSERVER-EBID-CORE
53,61,0.125,0.016444119532003112,OBSERVER-EBID-CORE
53,117,0.125,0.001340479841179808,OBSERVER-EBID-CORE
53,181,0.125,0.09663418121811475,OBSERVER-EBID-CORE
54,55,0.125,0.18710275647787936,OBSERVER-EBID-CORE
54,62,0.125,0.13438008552236794,OBSERVER-EBID-CORE
54,118,0.125,0.16171552798561267,OBSERVER-EBID-CORE
54,182,0.125,0.08055434088734363,OBSERVER-EBID-CORE
55,63,0.125,0.05202556157080401,OBSERVER-EBID-CORE
55,119,0.125,0.051750913905655706,OBSERVER-EBID-CORE
55,183,0.125,0.18204703850674103,OBSERVER-EBID-CORE
56,57,0.125,0.09133912114682471,OBSERVER-EBID-CORE
56,58,0.125,0.0208489125100317,OBSERVER-EBID-CORE
56,60,0.125,0.1390025709465,OBSERVER-EBID-CORE
56,120,0.125,0.19689721660975648,OBSERVER-EBID-CORE
56,184,0.125,0.08368000060057167,OBSERVER-EBID-CORE
57,59,0.125,0.2043833914066689,OBSERVER-EBID-CORE
57,61,0.125,0.25178630583831246,OBSERVER-EBID-CORE
57,121,0.125,0.30672268200736313,OBSERVER-EBID-CORE
57,185,0.125,0.09550205268717811,OBSERVER-EBID-CORE
58,59,0.125,0.10499740420946704,OBSERVER-EBID-CORE
58,62,0.125,0.08134211969270706,OBSERVER-EBID-CORE
58,122,0.125,0.2592104371834318,OBSERVER-EBID-CORE
58,186,0.125,0.037903133203497794,OBSERVER-EBID-CORE
59,63,0.125,0.11836999686249013,OBSERVER-EBID-CORE
59,123,0.125,0.13577596960189298,OBSERVER-EBID-CORE
59,187,0.125,0.0556730619139366,OBSERVER-EBID-CORE
60,61,0.125,0.07697228643471021,OBSERVER-EBID-CORE
