condition,cellId,fluxMagnitude,netFluxVector,directionalPersistence,abundanceTurnoverMass
scarcity_mutable,2.1.0.2,0.02078839614445331,"[0.0027945089881676447,0.001937788954569746,-0.0022641330199140476,-0.0013353590949850983]",0.20675546728472283,1.058469926665012
scarcity_mutable,2.1.1.0,0.009041893010530627,"[0.0019681966763149,0.002896445755680265,-0.0007370186576380079,-0.001379555074337006]",0.42417058597368756,0.8963469473481537
scarcity_mutable,2.1.1.1,0.3130132223936187,"[0.03318406294314203,-0.01704201513365707,-0.03847665119809927,-0.0004784147467826235]",0.1712189198791428,12.680460972400914
scarcity_mutable,2.1.1.2,0.16351637441386532,"[0.03101053974073607,-0.03487816670182217,0.016261499036453006,0.008592892456605935]",0.3067819600648302,6.2496672930051504
scarcity_mutable,2.1.1.3,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.07876535229476406
scarcity_mutable,2.1.2.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.016937669376693776
scarcity_mutable,2.1.2.1,0.11788667048669127,"[-0.010377113149322601,-0.015728521006277484,0.015211105286065117,-0.002255070831636218]",0.20631230168767042,4.659911024604709
scarcity_mutable,2.1.2.2,0.009972320614526822,"[-0.005896096267580273,0.00150903888402123,-0.0038839696325637233,-0.0014438657706026912]",0.7383256377376273,1.340627397891153
scarcity_mutable,2.2.0.2,0.006672702586422084,"[0.0003505990307587239,-0.00047828292063861505,-0.0017058742646896916,-0.001209727313078509]",0.3257652219456594,0.18359735863046778
scarcity_mutable,2.2.1.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.3163841807909604
scarcity_mutable,2.2.1.1,0.014703470923397126,"[0.004786598890868123,0.0006198361703834032,0.004454176875556789,0.0004962219098148019]",0.44795375790859215,1.2142394380424641
scarcity_mutable,2.2.1.2,0.0021589027082305734,"[-0.0002752273232964797,0.0011422153604939529,0.000583136630385756,-0.0008104063738974287]",0.7141689454089276,0.3894594277408412
scarcity_mutable,2.2.2.1,0.02624414361472483,"[-0.0004217210413679899,0.0008046785857906992,-0.004167037237884165,-0.0025096273490096068]",0.18855686393956378,1.0920027035197337
scarcity_mutable,2.2.2.2,0.00901189626978469,"[0.005571561137553272,0.0028290144495615537,0.00030210096524223686,0.0021573731882015426]",0.7343057737855868,0.52985163682908
scarcity_mutable,3.1.1.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.11693989071038251
scarcity_mutable,3.2.2.1,0.006439371706406827,"[0.002866611449766707,0.004337998709592664,0.0033026520326595236,-0.0018767800926271284]",1.0,0.41960784313725497
neutral_bottleneck_mutable,0.0.1.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.01694915254237288
neutral_bottleneck_mutable,1.0.1.0,0.014228614598022458,"[-0.0037336262654086953,-0.00015702275718394677,-0.0031198759291015104,-0.011800727424881752]",0.8971638831358495,0.2272727272727274
neutral_bottleneck_mutable,1.0.1.1,0.03718008521243309,"[0.0016484765680484536,-0.0003185556952146829,-0.0006259060387745716,-0.03324607721825777]",0.8954882453644644,1.023984923122854
neutral_bottleneck_mutable,1.0.1.2,0.014272302554788415,"[0.004694005822164272,-0.0022141632217151956,-0.0071483523657686785,0.0018639121411985569]",0.632571454368259,0.5741595441595441
neutral_bottleneck_mutable,1.0.2.1,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.13333333333333333
neutral_bottleneck_mutable,1.0.2.2,0.03240123126222025,"[0.008609587946929875,-0.003737734133721955,0.0012208336057191755,0.0032267249538694633]",0.3086269284968884,0.5791491921926706
neutral_bottleneck_mutable,1.1.0.1,0.048141027611741966,"[-0.010708660841956066,0.007557354306640018,0.008241446946606626,-0.0022627280860442753]",0.32502541472677215,0.9735230266809214
neutral_bottleneck_mutable,1.1.0.2,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.10152676889965026
neutral_bottleneck_mutable,1.1.1.0,0.007640585064555259,"[0.005822507013779416,-0.0012741005038640388,-0.0021367986372306893,0.0003414511931983189]",0.829901355174813,0.3211853440941691
neutral_bottleneck_mutable,1.1.1.1,0.16780526065352563,"[-0.00512110491084496,-0.021565003280664807,-0.020386022257911054,-0.015738022158930068]",0.2024887328258799,4.668062513946005
neutral_bottleneck_mutable,1.1.1.2,0.0677127407942229,"[-0.02208087627857777,-0.007235809848839467,-0.021543477552376292,0.003777134775939152]",0.47126985073410627,2.042468400089517
neutral_bottleneck_mutable,1.1.2.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.047089947089947085
neutral_bottleneck_mutable,1.1.2.1,0.13622278450077338,"[-0.008536191722545614,0.01770319596108108,0.003842408395830102,0.019587954343329064]",0.20564023822405958,2.5678052640322164
neutral_bottleneck_mutable,1.1.2.2,0.024226284654538764,"[0.0066761709622940105,0.00031104107021569705,-0.0031469956944585446,0.01094019415206443]",0.5448931336958781,1.017055543120022
neutral_bottleneck_mutable,1.2.1.0,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.03518518518518518
neutral_bottleneck_mutable,1.2.1.1,0.02271355499956605,"[0.005430170482984307,-0.0026248701757867134,-0.00011123479903857422,0.0003854570155877666]",0.2661246873670812,0.7302971630030033
neutral_bottleneck_mutable,1.2.1.2,0.009189481698908951,"[0.0036545734595158806,-0.0013034203518224945,-0.0020915090393632176,-0.002793457260445403]",0.5678762923539873,0.27790915114943027
neutral_bottleneck_mutable,1.2.1.3,0.0,"[0.0,0.0,0.0,0.0]",0.0,0.018518518518518517
neutral_bottleneck_mutable,1.2.2.1,0.0070618914227639235,"[8.511506768453717e-05,0.004661524547271149,-0.0035787159389813836,0.003914849552081003]",1.0,0.44861434861434857
