condition,seed,founderId,stepStart,stepEnd,pStart,pEnd,deltaP,muStart,muEnd,midpoint,fluxVector,fluxMagnitude,sourceCell,targetCell,midpointCell,crossesCellBoundary
scarcity_mutable,14003,26,179,180,0.10909090909090909,0.10714285714285714,-0.0019480519480519487,"[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,33,179,180,0.09090909090909091,0.08928571428571429,-0.001623376623376624,"[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,39,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.5041594078681364,0.6603329787164967,0.3477617057048407,0.46917436409183666]","[0.5041594078681364,0.6603329787164967,0.3477617057048407,0.46917436409183666]","[0.5041594078681364,0.6603329787164967,0.3477617057048407,0.46917436409183666]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,41,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.4575425492171881,0.25652566491300677,0.47221750414463187,0.24926465999277914]","[0.4575425492171881,0.25652566491300677,0.47221750414463187,0.24926465999277914]","[0.4575425492171881,0.25652566491300677,0.47221750414463187,0.24926465999277914]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.0,1.1.1.0,1.1.1.0,False
scarcity_mutable,14003,45,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.3593371134301045,0.38037222882468036,0.544867248423959,0.44241811034442136]","[0.3593371134301045,0.38037222882468036,0.544867248423959,0.44241811034442136]","[0.3593371134301045,0.38037222882468036,0.544867248423959,0.44241811034442136]","[0.0,0.0,0.0,0.0]",0.0,1.1.2.1,1.1.2.1,1.1.2.1,False
scarcity_mutable,14003,46,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.6479365926858669,0.4493859049691459,0.315641956987436,0.322420898773522]","[0.6479365926858669,0.4493859049691459,0.315641956987436,0.322420898773522]","[0.6479365926858669,0.4493859049691459,0.315641956987436,0.322420898773522]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,47,179,180,0.05454545454545454,0.05357142857142857,-0.0009740259740259744,"[0.44467032953506697,0.21501169151814836,0.41158452581710314,0.3331736580650835]","[0.44467032953506697,0.21501169151814836,0.41158452581710314,0.3331736580650835]","[0.44467032953506697,0.21501169151814836,0.41158452581710314,0.3331736580650835]","[0.0,0.0,0.0,0.0]",0.0,1.0.1.1,1.0.1.1,1.0.1.1,False
scarcity_mutable,14003,49,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.42768267317012776,0.517248091976764,0.33537181180194664,0.4519917039735575]","[0.42768267317012776,0.517248091976764,0.33537181180194664,0.4519917039735575]","[0.42768267317012776,0.517248091976764,0.33537181180194664,0.4519917039735575]","[0.0,0.0,0.0,0.0]",0.0,1.2.1.1,1.2.1.1,1.2.1.1,False
scarcity_mutable,14003,51,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.33533367006524256,0.531380244723054,0.5124731428033141,0.29679676741631233]","[0.33533367006524256,0.531380244723054,0.5124731428033141,0.29679676741631233]","[0.33533367006524256,0.531380244723054,0.5124731428033141,0.29679676741631233]","[0.0,0.0,0.0,0.0]",0.0,1.2.2.1,1.2.2.1,1.2.2.1,False
scarcity_mutable,14003,52,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.5378034733905244,0.4556448961492142,0.43923072458545515,0.36666418090758546]","[0.5378034733905244,0.4556448961492142,0.43923072458545515,0.36666418090758546]","[0.5378034733905244,0.4556448961492142,0.43923072458545515,0.36666418090758546]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,54,179,180,0.07272727272727272,0.07142857142857142,-0.0012987012987012991,"[0.5277166314573796,0.5021297797763593,0.4050629562221077,0.4301467437070881]","[0.5277166314573796,0.5021297797763593,0.4050629562221077,0.4301467437070881]","[0.5277166314573796,0.5021297797763593,0.4050629562221077,0.4301467437070881]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,58,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.720311251964896,0.4325029780572356,0.49510726254101933,0.3788810635639671]","[0.720311251964896,0.4325029780572356,0.49510726254101933,0.3788810635639671]","[0.720311251964896,0.4325029780572356,0.49510726254101933,0.3788810635639671]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,60,179,180,0.03636363636363636,0.03571428571428571,-0.0006493506493506496,"[0.5091035056739862,0.3469612100519048,0.36820728168355304,0.4277355944842941]","[0.5091035056739862,0.3469612100519048,0.36820728168355304,0.4277355944842941]","[0.5091035056739862,0.3469612100519048,0.36820728168355304,0.4277355944842941]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,63,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.496276440724472,0.5293466671251378,0.3811469369770687,0.4629128052923124]","[0.496276440724472,0.5293466671251378,0.3811469369770687,0.4629128052923124]","[0.496276440724472,0.5293466671251378,0.3811469369770687,0.4629128052923124]","[0.0,0.0,0.0,0.0]",0.0,1.2.1.1,1.2.1.1,1.2.1.1,False
scarcity_mutable,14003,64,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.37424623680946445,0.5017470658861427,0.37755721812672466,0.3173297718613144]","[0.37424623680946445,0.5017470658861427,0.37755721812672466,0.3173297718613144]","[0.37424623680946445,0.5017470658861427,0.37755721812672466,0.3173297718613144]","[0.0,0.0,0.0,0.0]",0.0,1.2.1.1,1.2.1.1,1.2.1.1,False
scarcity_mutable,14003,68,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.6638054421176023,0.44004167765468966,0.3548032875261293,0.5235471281496806]","[0.6638054421176023,0.44004167765468966,0.3548032875261293,0.5235471281496806]","[0.6638054421176023,0.44004167765468966,0.3548032875261293,0.5235471281496806]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.2,2.1.1.2,2.1.1.2,False
scarcity_mutable,14003,69,179,180,0.01818181818181818,0.017857142857142856,-0.0003246753246753248,"[0.570342861386961,0.4619419345162993,0.5142846816381609,0.42504514602501287]","[0.570342861386961,0.4619419345162993,0.5142846816381609,0.42504514602501287]","[0.570342861386961,0.4619419345162993,0.5142846816381609,0.42504514602501287]","[0.0,0.0,0.0,0.0]",0.0,2.1.2.1,2.1.2.1,2.1.2.1,False
scarcity_mutable,14003,1,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,3,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.2,2.2.1.2,2.2.1.2,False
scarcity_mutable,14003,4,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,13,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.2,1.1.1.2,1.1.1.2,False
scarcity_mutable,14003,17,180,185,0.05357142857142857,0.05454545454545454,0.0009740259740259744,"[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,20,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.1,1.1.1.1,1.1.1.1,False
scarcity_mutable,14003,21,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,23,180,185,0.07142857142857142,0.07272727272727272,0.0012987012987012991,"[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,24,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,25,180,185,0.05357142857142857,0.05454545454545454,0.0009740259740259744,"[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.0,0.0,0.0,0.0]",0.0,1.1.0.1,1.1.0.1,1.1.0.1,False
scarcity_mutable,14003,26,180,185,0.10714285714285714,0.10909090909090909,0.0019480519480519487,"[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,33,180,185,0.08928571428571429,0.09090909090909091,0.001623376623376624,"[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,39,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.5041594078681364,0.6603329787164967,0.3477617057048407,0.46917436409183666]","[0.5041594078681364,0.6603329787164967,0.3477617057048407,0.46917436409183666]","[0.5041594078681364,0.6603329787164967,0.3477617057048407,0.46917436409183666]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,41,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.4575425492171881,0.25652566491300677,0.47221750414463187,0.24926465999277914]","[0.4575425492171881,0.25652566491300677,0.47221750414463187,0.24926465999277914]","[0.4575425492171881,0.25652566491300677,0.47221750414463187,0.24926465999277914]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.0,1.1.1.0,1.1.1.0,False
scarcity_mutable,14003,45,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.3593371134301045,0.38037222882468036,0.544867248423959,0.44241811034442136]","[0.3593371134301045,0.38037222882468036,0.544867248423959,0.44241811034442136]","[0.3593371134301045,0.38037222882468036,0.544867248423959,0.44241811034442136]","[0.0,0.0,0.0,0.0]",0.0,1.1.2.1,1.1.2.1,1.1.2.1,False
scarcity_mutable,14003,46,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.6479365926858669,0.4493859049691459,0.315641956987436,0.322420898773522]","[0.6479365926858669,0.4493859049691459,0.315641956987436,0.322420898773522]","[0.6479365926858669,0.4493859049691459,0.315641956987436,0.322420898773522]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,47,180,185,0.05357142857142857,0.05454545454545454,0.0009740259740259744,"[0.44467032953506697,0.21501169151814836,0.41158452581710314,0.3331736580650835]","[0.44467032953506697,0.21501169151814836,0.41158452581710314,0.3331736580650835]","[0.44467032953506697,0.21501169151814836,0.41158452581710314,0.3331736580650835]","[0.0,0.0,0.0,0.0]",0.0,1.0.1.1,1.0.1.1,1.0.1.1,False
scarcity_mutable,14003,49,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.42768267317012776,0.517248091976764,0.33537181180194664,0.4519917039735575]","[0.42768267317012776,0.517248091976764,0.33537181180194664,0.4519917039735575]","[0.42768267317012776,0.517248091976764,0.33537181180194664,0.4519917039735575]","[0.0,0.0,0.0,0.0]",0.0,1.2.1.1,1.2.1.1,1.2.1.1,False
scarcity_mutable,14003,51,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.33533367006524256,0.531380244723054,0.5124731428033141,0.29679676741631233]","[0.33533367006524256,0.531380244723054,0.5124731428033141,0.29679676741631233]","[0.33533367006524256,0.531380244723054,0.5124731428033141,0.29679676741631233]","[0.0,0.0,0.0,0.0]",0.0,1.2.2.1,1.2.2.1,1.2.2.1,False
scarcity_mutable,14003,52,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.5378034733905244,0.4556448961492142,0.43923072458545515,0.36666418090758546]","[0.5378034733905244,0.4556448961492142,0.43923072458545515,0.36666418090758546]","[0.5378034733905244,0.4556448961492142,0.43923072458545515,0.36666418090758546]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,54,180,185,0.07142857142857142,0.07272727272727272,0.0012987012987012991,"[0.5277166314573796,0.5021297797763593,0.4050629562221077,0.4301467437070881]","[0.5277166314573796,0.5021297797763593,0.4050629562221077,0.4301467437070881]","[0.5277166314573796,0.5021297797763593,0.4050629562221077,0.4301467437070881]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,58,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.720311251964896,0.4325029780572356,0.49510726254101933,0.3788810635639671]","[0.720311251964896,0.4325029780572356,0.49510726254101933,0.3788810635639671]","[0.720311251964896,0.4325029780572356,0.49510726254101933,0.3788810635639671]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,60,180,185,0.03571428571428571,0.03636363636363636,0.0006493506493506496,"[0.5091035056739862,0.3469612100519048,0.36820728168355304,0.4277355944842941]","[0.5091035056739862,0.3469612100519048,0.36820728168355304,0.4277355944842941]","[0.5091035056739862,0.3469612100519048,0.36820728168355304,0.4277355944842941]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,63,180,185,0.017857142857142856,0.0,-0.017857142857142856,"[0.496276440724472,0.5293466671251378,0.3811469369770687,0.4629128052923124]","[0.496276440724472,0.5293466671251378,0.3811469369770687,0.4629128052923124]","[0.496276440724472,0.5293466671251378,0.3811469369770687,0.4629128052923124]","[0.0,0.0,0.0,0.0]",0.0,1.2.1.1,1.2.1.1,1.2.1.1,False
scarcity_mutable,14003,64,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.37424623680946445,0.5017470658861427,0.37755721812672466,0.3173297718613144]","[0.37424623680946445,0.5017470658861427,0.37755721812672466,0.3173297718613144]","[0.37424623680946445,0.5017470658861427,0.37755721812672466,0.3173297718613144]","[0.0,0.0,0.0,0.0]",0.0,1.2.1.1,1.2.1.1,1.2.1.1,False
scarcity_mutable,14003,68,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.6638054421176023,0.44004167765468966,0.3548032875261293,0.5235471281496806]","[0.6638054421176023,0.44004167765468966,0.3548032875261293,0.5235471281496806]","[0.6638054421176023,0.44004167765468966,0.3548032875261293,0.5235471281496806]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.2,2.1.1.2,2.1.1.2,False
scarcity_mutable,14003,69,180,185,0.017857142857142856,0.01818181818181818,0.0003246753246753248,"[0.570342861386961,0.4619419345162993,0.5142846816381609,0.42504514602501287]","[0.570342861386961,0.4619419345162993,0.5142846816381609,0.42504514602501287]","[0.570342861386961,0.4619419345162993,0.5142846816381609,0.42504514602501287]","[0.0,0.0,0.0,0.0]",0.0,2.1.2.1,2.1.2.1,2.1.2.1,False
scarcity_mutable,14003,1,185,190,0.03636363636363636,0.038461538461538464,0.002097902097902102,"[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.5649503350023265,0.4423267219827332,0.40356231458759856,0.45260979836209136]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,3,185,190,0.01818181818181818,0.019230769230769232,0.001048951048951051,"[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.5051006242031885,0.6070790029398796,0.3724810382994684,0.5547442750708689]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.2,2.2.1.2,2.2.1.2,False
scarcity_mutable,14003,4,185,190,0.03636363636363636,0.038461538461538464,0.002097902097902102,"[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.6872814916635777,0.6400372021653544,0.31596655169546006,0.31860708401061544]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,13,185,190,0.03636363636363636,0.038461538461538464,0.002097902097902102,"[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.44813473682659366,0.3073266611950438,0.3464984177752003,0.5416333933453961]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.2,1.1.1.2,1.1.1.2,False
scarcity_mutable,14003,17,185,190,0.05454545454545454,0.057692307692307696,0.0031468531468531527,"[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.5906083841379668,0.399568387007274,0.3682947307504129,0.37937952907318]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,20,185,190,0.01818181818181818,0.019230769230769232,0.001048951048951051,"[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.4099132586876397,0.4717163422052501,0.34940976895911147,0.4054575704980805]","[0.0,0.0,0.0,0.0]",0.0,1.1.1.1,1.1.1.1,1.1.1.1,False
scarcity_mutable,14003,21,185,190,0.01818181818181818,0.019230769230769232,0.001048951048951051,"[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.562604757356025,0.5182584581454863,0.3438793914653553,0.312668904090563]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,23,185,190,0.07272727272727272,0.057692307692307696,-0.015034965034965028,"[0.5026816048033992,0.45464064498540974,0.37812636400938004,0.31385571366992765]","[0.4920284284659025,0.466404123436873,0.3832255548115968,0.31121476019763655]","[0.49735501663465087,0.46052238421114133,0.38067595941048843,0.3125352369337821]","[-0.0006946913940360599,0.0007670939619573062,0.0003325171624522473,-0.0001722160218819194]",0.0011005704434234318,2.1.1.1,1.1.1.1,1.1.1.1,True
scarcity_mutable,14003,24,185,190,0.03636363636363636,0.038461538461538464,0.002097902097902102,"[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.706657676767604,0.5515653486345168,0.30158136776298317,0.47128993393152596]","[0.0,0.0,0.0,0.0]",0.0,2.2.1.1,2.2.1.1,2.2.1.1,False
scarcity_mutable,14003,25,185,190,0.05454545454545454,0.057692307692307696,0.0031468531468531527,"[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.4066370534184691,0.35152389341038776,0.23711616939330712,0.3857587166750216]","[0.0,0.0,0.0,0.0]",0.0,1.1.0.1,1.1.0.1,1.1.0.1,False
scarcity_mutable,14003,26,185,190,0.10909090909090909,0.11538461538461539,0.006293706293706305,"[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.6405967728204214,0.39743715197706403,0.4953590503728292,0.4173868874072803]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
scarcity_mutable,14003,33,185,190,0.09090909090909091,0.09615384615384616,0.005244755244755248,"[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.5333126214711573,0.3271931437456367,0.3283903021739586,0.46850350013518194]","[0.0,0.0,0.0,0.0]",0.0,2.1.1.1,2.1.1.1,2.1.1.1,False
